accession,ticker,issuer_name,insider_name,filing_datetime,cik,purchase_value,shares,latest_close,high_52w,drawdown_from_52w_high,adv60_dollars,current_market_cap,transaction_rows,insider_vwap,signal_value_to_adv60,current_price_premium_to_insider_vwap,purchase_to_market_cap,passes_adv60_monitor,passes_adv60_alert,passes_price_premium,monitor_candidate,alert_candidate,episode_key,research_score,research_tier,score_reasons,score_caveats
0001193125-26-386771,ENHA,Enhanced Group Inc.,Angermayer Christian; Apeiron Investment Group Ltd.; Enhanced Holdings LP,2026-09-09 23:08:50,0002132854,159374.3706,99342.0,1.559999942779541,9.699999809265137,-0.8391752604686159,2386700.4379518963,,1,1.6042999999999998,0.06677602604236509,-0.027613324951978324,,True,True,True,True,True,57a13d8bba2a1ec1feb70179fe12da32415e71489bb85948be4cd9c42e135c30,7,ALERT,"[""purchase value >= $100k ($159,374)"", ""purchase value / ADV60 >= 5% (6.7%)"", ""current price below insider VWAP (-2.8%)"", ""stock down at least 30% from 52w high (-83.9%)""]","[""market cap unavailable""]"
0001140361-26-036089,PRTS,"CarParts.com, Inc.",Meniane David,2026-09-09 22:40:33,0001770720,749239.16,79539.0,9.5,9.699999809265137,-0.020618537443073293,196623.13611628645,,3,9.419770929984033,3.8105340744686655,0.008517093527252495,,True,True,True,True,True,a1767d9d70ef6d98063c8eefeda323c704cdf657c860ef285d64ec544e2c92ee,6,WATCH,"[""purchase value >= $100k ($749,239)"", ""purchase value / ADV60 >= 5% (381.1%)"", ""current price within 15% of insider VWAP (0.9%)"", ""multiple purchase rows in filing (3)""]","[""market cap unavailable""]"
0001140361-26-036090,PRTS,"CarParts.com, Inc.",Huffaker Michael,2026-09-09 22:43:45,0001956633,748462.1,79458.0,9.5,9.699999809265137,-0.020618537443073293,196623.13611628645,,3,9.419593999345565,3.806582047177531,0.008536036761247034,,True,True,True,True,True,3bc1794e88f6905eaa5f0f9a5e55c0a9d424bbd1fc7f1c2bd99ccbbce5476304,6,WATCH,"[""purchase value >= $100k ($748,462)"", ""purchase value / ADV60 >= 5% (380.7%)"", ""current price within 15% of insider VWAP (0.9%)"", ""multiple purchase rows in filing (3)""]","[""market cap unavailable""]"
