accepted_at,accession,cik,ticker,amendment,issuer_cik,issuer_name,issuer_trading_symbol,security_title,transaction_date,transaction_code,acquired_disposed_code,shares,price_per_share,purchase_value,reporting_owners,eligible_insider,record_key,filing_datetime,insider_name,company_name,drop_reason
2026-08-31 20:46:52,0001493152-26-040843,0001534708,BLNE,False,0001534708,"Beeline Holdings, Inc.",BLNE,Common Stock,2026-08-25,P,A,2500.0,1.02,2550.0,"[{""cik"": ""0001264473"", ""name"": ""Liuzza Nicholas Reyland JR"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": ""Chief Executive Officer""}]",True,171c21de0e9c2e40e2c2f048049f22aba5a7bcd63fd8108126b9b27b09bd2659,2026-08-31 20:46:52,Liuzza Nicholas Reyland JR,"Beeline Holdings, Inc.",below_min_purchase_value
2026-08-31 20:46:52,0001493152-26-040843,0001534708,BLNE,False,0001534708,"Beeline Holdings, Inc.",BLNE,Common Stock,2026-08-26,P,A,15000.0,0.981,14715.0,"[{""cik"": ""0001264473"", ""name"": ""Liuzza Nicholas Reyland JR"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": ""Chief Executive Officer""}]",True,2d671bf40b6a8fe73cf93e2e48e9d3ac492fee4e8d3b1bf308da12d8284b46c2,2026-08-31 20:46:52,Liuzza Nicholas Reyland JR,"Beeline Holdings, Inc.",below_min_purchase_value
2026-08-31 20:46:52,0001493152-26-040843,0001534708,BLNE,False,0001534708,"Beeline Holdings, Inc.",BLNE,Common Stock,2026-08-27,P,A,5000.0,1.06,5300.0,"[{""cik"": ""0001264473"", ""name"": ""Liuzza Nicholas Reyland JR"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": ""Chief Executive Officer""}]",True,d23573de41289dd72c14d80805afb421008b0484297df10be4a70635067798bf,2026-08-31 20:46:52,Liuzza Nicholas Reyland JR,"Beeline Holdings, Inc.",below_min_purchase_value
2026-08-31 20:30:31,0001493152-26-040836,0001297074,SLNH,False,0000064463,"Soluna Holdings, Inc",SLNH,Common Stock,2026-08-28,P,A,20000.0,1.13,22600.0,"[{""cik"": ""0001297074"", ""name"": ""PICCHI MICHAEL"", ""is_director"": false, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""Chief Financial Officer""}]",True,a04f385d3d468c5269d23de0361a06d42f664b940a67c7a17f40203a30022887,2026-08-31 20:30:31,PICCHI MICHAEL,"Soluna Holdings, Inc",below_min_purchase_value
2026-08-31 20:30:30,0001493152-26-040835,0001435627,QVCG,False,0001254699,"QVC Group, Inc.",QVCG,Common Stock,2026-08-27,P,A,17478.0,15.7576,275411.3328,"[{""cik"": ""0001278951"", ""name"": ""GOLDENTREE ASSET MANAGEMENT LP"", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}, {""cik"": ""0001435627"", ""name"": ""GoldenTree Asset Management LLC"", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}, {""cik"": ""0001435626"", ""name"": ""Tananbaum Steven A."", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}]",False,33dc2b64e451195004e2352cfc2efcd416eff539752c688b7a87a47c5fc9c6f5,2026-08-31 20:30:30,GOLDENTREE ASSET MANAGEMENT LP; GoldenTree Asset Management LLC; Tananbaum Steven A.,"QVC Group, Inc.",ineligible_owner
2026-08-31 20:30:30,0001493152-26-040835,0001435627,QVCG,False,0001254699,"QVC Group, Inc.",QVCG,Common Stock,2026-08-27,P,A,5216.0,15.9136,83005.3376,"[{""cik"": ""0001278951"", ""name"": ""GOLDENTREE ASSET MANAGEMENT LP"", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}, {""cik"": ""0001435627"", ""name"": ""GoldenTree Asset Management LLC"", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}, {""cik"": ""0001435626"", ""name"": ""Tananbaum Steven A."", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}]",False,d9721502d57838d21eded10b582fa904680861462c706e647209cd9bd2ad8917,2026-08-31 20:30:30,GOLDENTREE ASSET MANAGEMENT LP; GoldenTree Asset Management LLC; Tananbaum Steven A.,"QVC Group, Inc.",below_min_purchase_value
2026-08-31 20:30:30,0001493152-26-040835,0001435627,QVCG,False,0001254699,"QVC Group, Inc.",QVCG,Common Stock,2026-08-28,P,A,915.0,15.9837,14625.0855,"[{""cik"": ""0001278951"", ""name"": ""GOLDENTREE ASSET MANAGEMENT LP"", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}, {""cik"": ""0001435627"", ""name"": ""GoldenTree Asset Management LLC"", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}, {""cik"": ""0001435626"", ""name"": ""Tananbaum Steven A."", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}]",False,be6a8292fc7beaf1c7cdf552f0900617244bc1d248dbe7436a83435bbddaa63c,2026-08-31 20:30:30,GOLDENTREE ASSET MANAGEMENT LP; GoldenTree Asset Management LLC; Tananbaum Steven A.,"QVC Group, Inc.",below_min_purchase_value
2026-08-31 20:30:15,0001213900-26-095757,0002108274,JAGU,False,0002039273,Jaguar Uranium Corp.,JAGU,Common Shares,2026-08-28,P,A,12000.0,1.6,19200.0,"[{""cik"": ""0002108274"", ""name"": ""Gold Steven Brian"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""President, CEO, and Director""}]",True,cb6c20a70f6bf7fd2cd0f838812aa3d62953239e49052601c2f29dbb37e1ee32,2026-08-31 20:30:15,Gold Steven Brian,Jaguar Uranium Corp.,below_min_purchase_value
2026-08-31 20:27:07,0001812746-26-000011,0001812746,AMR,False,0001704715,"Alpha Metallurgical Resources, Inc.",AMR,"Common Stock, $0.01 par value per share",2026-08-28,P,A,201.0,229.83,46195.83,"[{""cik"": ""0001812746"", ""name"": ""Courtis Kenneth S."", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,48f5c7fa9c56499712ffc3b73cde0feb8fc36046440cb465cfa6fc1d14264490,2026-08-31 20:27:07,Courtis Kenneth S.,"Alpha Metallurgical Resources, Inc.",below_min_purchase_value
2026-08-31 20:27:07,0001812746-26-000011,0001812746,AMR,False,0001704715,"Alpha Metallurgical Resources, Inc.",AMR,"Common Stock, $0.01 par value per share",2026-08-28,P,A,210.0,234.24,49190.4,"[{""cik"": ""0001812746"", ""name"": ""Courtis Kenneth S."", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,62a08c5321f130c7aa6610167b30b24de660b2c9a85fc0de2d77f46a0130d247,2026-08-31 20:27:07,Courtis Kenneth S.,"Alpha Metallurgical Resources, Inc.",below_min_purchase_value
2026-08-31 20:27:07,0001812746-26-000011,0001812746,AMR,False,0001704715,"Alpha Metallurgical Resources, Inc.",AMR,"Common Stock, $0.01 par value per share",2026-08-28,P,A,50.0,235.47,11773.5,"[{""cik"": ""0001812746"", ""name"": ""Courtis Kenneth S."", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,57f88dbccbbb0883ea6f07cfaa97c2b99ddca45e2efeb28a7db56fe8da40cb6a,2026-08-31 20:27:07,Courtis Kenneth S.,"Alpha Metallurgical Resources, Inc.",below_min_purchase_value
2026-08-31 20:15:24,0001193125-26-376792,0001747777,OTF,False,0001747777,Blue Owl Technology Finance Corp.,OTF,Common Stock,2026-08-28,P,A,1000.0,11.37,11370.0,"[{""cik"": ""0001671992"", ""name"": ""Kaye Eric A."", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,4a3dbea7bfaa201e9d7b4a8641fe917b38cb087784ba01cc9a55163638f30a3c,2026-08-31 20:15:24,Kaye Eric A.,Blue Owl Technology Finance Corp.,below_min_purchase_value
2026-08-31 20:15:09,0001193125-26-376791,0001671992,OBDC,False,0001655888,Blue Owl Capital Corp,OBDC,Common Stock,2026-08-28,P,A,1000.0,11.34,11340.0,"[{""cik"": ""0001671992"", ""name"": ""Kaye Eric A."", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,1c6d936ea13894914260b48a47e86c283477480cb08bb42da313e6ae1fd763b5,2026-08-31 20:15:09,Kaye Eric A.,Blue Owl Capital Corp,below_min_purchase_value
2026-08-31 20:10:24,0001829126-26-009544,0002129436,VRXA,False,0002079109,Veraxa Biotech AG - Post de-SPAC,VRXA,Ordinary Shares,2026-08-27,P,A,50000.0,1.5,75000.0,"[{""cik"": ""0002129436"", ""name"": ""Baumann Oliver Rolf"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,df4e0c8db4684105a29c5be2a910031a92b5271f45f42b48829b7ae8a94ca260,2026-08-31 20:10:24,Baumann Oliver Rolf,Veraxa Biotech AG - Post de-SPAC,below_min_purchase_value
2026-08-31 20:10:06,0001829126-26-009543,0002123284,VRXA,False,0002079109,Veraxa Biotech AG - Post de-SPAC,VRXA,Ordinary Shares,2026-08-27,P,A,5000.0,1.53,7650.0,"[{""cik"": ""0002123284"", ""name"": ""Antz Christoph Rudiger"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""Chief Executive Officer""}]",True,827b642daa4af00a8f1631e7aaf0d2ca62ee3f9a38fe30280598a0be09dda29a,2026-08-31 20:10:06,Antz Christoph Rudiger,Veraxa Biotech AG - Post de-SPAC,below_min_purchase_value
2026-08-31 20:07:36,0000905148-26-004037,0001873026,OPFI,False,0001818502,OppFi Inc.,OPFI,Class A Common Stock,2026-08-28,P,A,3500.0,7.1479,25017.65,"[{""cik"": ""0001873026"", ""name"": ""Schwartz Todd G."", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": ""Chief Executive Officer""}]",True,404f5da9b02db22d995b1eb0d967b11bc67f0f26fc4ccac02a1cfe1a11cbc3d8,2026-08-31 20:07:36,Schwartz Todd G.,OppFi Inc.,below_min_purchase_value
2026-08-31 20:05:02,0001493152-26-040817,0001770501,VENU,False,0001770501,Venu Holding Corp,VENU,"Common Stock, par value $0.001",2026-08-27,P,A,1000.0,2.0168,2016.8,"[{""cik"": ""0001005645"", ""name"": ""ROTH JAY W"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": ""CEO & Chairman""}]",True,c770177b15f09cedfef21716ba00066e3f347b3c3c085920a9ab63f2192a779d,2026-08-31 20:05:02,ROTH JAY W,Venu Holding Corp,below_min_purchase_value
