title,form_type,accepted_at,accession,cik,company_name,ticker,primary_document,archive_base_url,source_url,amendment_flag,xml_url,sha256,status,parsed_records
4 - Sundy Robert II (0001945571) (Reporting),4,2026-06-25 20:43:23,0001945571-26-000002,0001945571,4 - Sundy Robert II (0001945571) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1945571/000194557126000002,https://www.sec.gov/Archives/edgar/data/1945571/000194557126000002/0001945571-26-000002-index.htm,False,https://www.sec.gov/Archives/edgar/data/1945571/000194557126000002/wk-form4_1782420200.xml,d4d831ea22606a043a76390291315c26b256357c0d0be815abefb9fa596ce1d9,parsed,0
4 - Althoff Judson (0001868758) (Reporting),4,2026-06-25 20:42:53,0001868758-26-000010,0001868758,4 - Althoff Judson (0001868758) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1868758/000186875826000010,https://www.sec.gov/Archives/edgar/data/1868758/000186875826000010/0001868758-26-000010-index.htm,False,https://www.sec.gov/Archives/edgar/data/1868758/000186875826000010/wk-form4_1782420170.xml,32a00cb85f3cfb4f01824500049b3f86d1d54140b6bc350d2cbf1ae4e3851091,parsed,0
4 - Bhandari Parul (0001861355) (Reporting),4,2026-06-25 20:42:39,0001008886-26-000188,0001861355,4 - Bhandari Parul (0001861355) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1861355/000100888626000188,https://www.sec.gov/Archives/edgar/data/1861355/000100888626000188/0001008886-26-000188-index.htm,False,https://www.sec.gov/Archives/edgar/data/1861355/000100888626000188/form4.xml,c23666f575ce30af8e6c09a8d2584434d01db427554e2af1d142a22ced3202f6,parsed,0
4 - McCourt MaryFrances (0001730724) (Reporting),4,2026-06-25 20:42:18,0001628280-26-045560,0001730724,4 - McCourt MaryFrances (0001730724) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1730724/000162828026045560,https://www.sec.gov/Archives/edgar/data/1730724/000162828026045560/0001628280-26-045560-index.htm,False,https://www.sec.gov/Archives/edgar/data/1730724/000162828026045560/wk-form4_1782420135.xml,9274cfe90db1632dd0d06296e414a6ccc2719d5e03ee2040e32d2ad669c44db5,parsed,0
4 - Mueller David J (0001672825) (Reporting),4,2026-06-25 20:41:59,0001672825-26-000005,0001672825,4 - Mueller David J (0001672825) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1672825/000167282526000005,https://www.sec.gov/Archives/edgar/data/1672825/000167282526000005/0001672825-26-000005-index.htm,False,https://www.sec.gov/Archives/edgar/data/1672825/000167282526000005/primary_doc.xml,25f42ffdb92c47b4923813b985a0c38a9fe7b52af9759718796adcee81f4fd73,parsed,0
4 - Lockhart Stephen H (0001856013) (Reporting),4,2026-06-25 20:41:03,0001008886-26-000187,0001856013,4 - Lockhart Stephen H (0001856013) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1856013/000100888626000187,https://www.sec.gov/Archives/edgar/data/1856013/000100888626000187/0001008886-26-000187-index.htm,False,https://www.sec.gov/Archives/edgar/data/1856013/000100888626000187/form4.xml,60274ba6407ff64fa2187c5b29ec832d07c1fa7cf3cfa2044f017503fdc6b9cb,parsed,0
4 - Liao Daniel JL (0001775769) (Reporting),4,2026-06-25 20:40:23,0001628280-26-045558,0001775769,4 - Liao Daniel JL (0001775769) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1775769/000162828026045558,https://www.sec.gov/Archives/edgar/data/1775769/000162828026045558/0001628280-26-045558-index.htm,False,https://www.sec.gov/Archives/edgar/data/1775769/000162828026045558/wk-form4_1782420020.xml,a32425f4d1579b26bd6af595dec62657959c98f98e8e50cc46be8991cf467185,parsed,0
4 - Richmond Raphaell Z. (0001860305) (Reporting),4,2026-06-25 20:40:12,0001860305-26-000002,0001860305,4 - Richmond Raphaell Z. (0001860305) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1860305/000186030526000002,https://www.sec.gov/Archives/edgar/data/1860305/000186030526000002/0001860305-26-000002-index.htm,False,https://www.sec.gov/Archives/edgar/data/1860305/000186030526000002/wk-form4_1782420009.xml,1d61e81ad0018783d4abcaec3043527d8d5a265aae1c89264f589ce0570dfb55,parsed,0
4 - ROTHBLATT MARTINE A (0001106578) (Reporting),4,2026-06-25 20:39:50,0001106578-26-000085,0001106578,4 - ROTHBLATT MARTINE A (0001106578) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1106578/000110657826000085,https://www.sec.gov/Archives/edgar/data/1106578/000110657826000085/0001106578-26-000085-index.htm,False,https://www.sec.gov/Archives/edgar/data/1106578/000110657826000085/primarydocument.xml,6b4ac98d2f8df1054eebb8fa8804b4d11b8947240bd44cda3065d53f3c6ef3f2,parsed,0
4 - NUNNELLY JOHN N (0001248110) (Reporting),4,2026-06-25 20:39:27,0001008886-26-000186,0001248110,4 - NUNNELLY JOHN N (0001248110) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1248110/000100888626000186,https://www.sec.gov/Archives/edgar/data/1248110/000100888626000186/0001008886-26-000186-index.htm,False,https://www.sec.gov/Archives/edgar/data/1248110/000100888626000186/form4.xml,52e4f7d52d7816cf374659e3083ca830238374b9f1c552095354a3014ae7d3e8,parsed,0
