accepted_at,accession,cik,ticker,amendment,issuer_cik,issuer_name,issuer_trading_symbol,security_title,transaction_date,transaction_code,acquired_disposed_code,shares,price_per_share,purchase_value,reporting_owners,eligible_insider,record_key,filing_datetime,insider_name,company_name,latest_close,adv60_dollars,current_market_cap,signal_value_to_adv60,current_price_premium_to_insider_vwap,purchase_to_market_cap,passes_adv60_monitor,passes_adv60_alert,passes_price_premium,monitor_candidate,alert_candidate,high_52w,drawdown_from_52w_high,research_score,research_tier,score_reasons,score_caveats
2026-04-27 20:30:02,0001418423-26-000004,1418423,EFOR,False,890564,Everforth Inc,EFOR,Common Stock,2026-04-24,P,A,5350.0,18.695,100018.25,"[{""cik"": ""0001418423"", ""name"": ""Perry Marie"", ""is_director"": false, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""EVP, Chief Financial Officer""}]",True,1b388661e1fc2f8ae2c316d8d66391585e70ad2e79b6db9424ef8b5499169977,2026-04-27 20:30:02,Perry Marie,Everforth Inc,20.989999771118164,51951970.61349869,,0.0019252060859075,0.1227600840394844,,False,False,True,False,False,20.989999771118164,0.0,2.0,ARCHIVE,"[""purchase value >= $100k ($100,018)"", ""current price within 15% of insider VWAP (12.3%)""]","[""market cap unavailable""]"
2026-04-28 21:01:34,0001699728-26-000008,1699728,LW,False,1679273,"Lamb Weston Holdings, Inc.",LW,Common Stock,2026-04-27,P,A,4556.0,43.85,199780.6,"[{""cik"": ""0001699728"", ""name"": ""Gray James D"", ""is_director"": false, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""Chief Financial Officer""}]",True,36757a9aa3c549105e4876c7848270eb9ec7cab586df6cf71f2092fdc4b6c10e,2026-04-28 21:01:34,Gray James D,"Lamb Weston Holdings, Inc.",43.08000183105469,130223512.6416659,,0.0015341361628735,-0.0175598214126639,,False,False,True,False,False,65.6268081665039,-0.3435609161159413,4.0,WATCH,"[""purchase value >= $100k ($199,781)"", ""current price below insider VWAP (-1.8%)"", ""stock down at least 30% from 52w high (-34.4%)""]","[""market cap unavailable""]"
2026-04-28 20:16:50,0001504089-26-000005,1504089,CHTR,False,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",CHTR,Class A Common Stock,2026-04-28,P,A,3468.0,172.2349,597310.6332,"[{""cik"": ""0001504089"", ""name"": ""Winfrey Christopher L"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""President and CEO""}]",True,d868943d9a761d089c2e51c5e0110c6d000e3ac53421dc7d38d520cdfe905473,2026-04-28 20:16:50,Winfrey Christopher L,"CHARTER COMMUNICATIONS, INC. /MO/",173.11000061035156,464185949.0379229,,0.0012867917144799,0.0050808553339163,,False,False,True,False,False,427.25,-0.594827383006784,4.0,WATCH,"[""purchase value >= $100k ($597,311)"", ""current price within 15% of insider VWAP (0.5%)"", ""stock down at least 30% from 52w high (-59.5%)""]","[""market cap unavailable""]"
2026-04-28 23:37:56,0000902132-26-000005,902132,ABT,False,1800,ABBOTT LABORATORIES,ABT,Common shares without par value,2026-04-27,P,A,10000.0,92.6537,926537.0,"[{""cik"": ""0000902132"", ""name"": ""STARKS DANIEL J"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,29e087d9d368aeb220178e702181b8deb569691e9971194ec24c677d9c076b49,2026-04-28 23:37:56,STARKS DANIEL J,ABBOTT LABORATORIES,93.86000061035156,1206706754.1743252,,0.0007678228341681,0.013019454272755,,False,False,True,False,False,135.31573486328125,-0.3063629983225177,4.0,WATCH,"[""purchase value >= $100k ($926,537)"", ""current price within 15% of insider VWAP (1.3%)"", ""stock down at least 30% from 52w high (-30.6%)""]","[""market cap unavailable""]"
2026-04-28 20:19:15,0001398905-26-000010,1398905,CHTR,False,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",CHTR,Class A Common Stock,2026-04-28,P,A,1000.0,175.46,175460.0,"[{""cik"": ""0001398905"", ""name"": ""Nair Balan"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,9b97962fde7aabd1eec17f38e9c850eb53a202c7ad61fb1eb4863e778a091233,2026-04-28 20:19:15,Nair Balan,"CHARTER COMMUNICATIONS, INC. /MO/",173.11000061035156,464185949.0379229,,0.0003779950693545,-0.0133933625307673,,False,False,True,False,False,427.25,-0.594827383006784,4.0,WATCH,"[""purchase value >= $100k ($175,460)"", ""current price below insider VWAP (-1.3%)"", ""stock down at least 30% from 52w high (-59.5%)""]","[""market cap unavailable""]"
2026-04-28 20:30:16,0001493152-26-019354,2121347,DKI,False,2058584,DarkIris Inc.,DKI,Class B Ordinary Shares,2026-04-24,P,A,1428571.0,0.35,499999.85,"[{""cik"": ""0002121347"", ""name"": ""Hong Zhifang"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": true, ""is_other"": true, ""officer_title"": ""CEO""}]",True,aaca5611ff5e3a27870448e72e8dfdc51227d8d9ad760e702da5326e49745601,2026-04-28 20:30:16,Hong Zhifang,DarkIris Inc.,0.4790000021457672,7722891.124534223,,0.0647425739839308,0.3685714347021922,,True,True,False,False,False,11.600000381469728,-0.9587068977246812,3.0,ARCHIVE,"[""purchase value >= $100k ($500,000)"", ""purchase value / ADV60 >= 5% (6.5%)"", ""stock down at least 30% from 52w high (-95.9%)""]","[""current price more than 15% above insider VWAP (36.9%)"", ""market cap unavailable""]"
2026-04-28 21:08:05,0000737468-26-000072,1592204,WASH,False,737468,WASHINGTON TRUST BANCORP INC,WASH,Common Stock,2026-04-27,P,A,3195.0,31.3236,100078.902,"[{""cik"": ""0001592204"", ""name"": ""Handy Edward O. III"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": null, ""is_other"": null, ""officer_title"": ""Chairman and CEO""}]",True,9394a100722c96fe7c52e6ab5f3a69a600822ba951500be353c91c362193d067,2026-04-28 21:08:05,Handy Edward O. III,WASHINGTON TRUST BANCORP INC,31.96999931335449,6249924.35190258,,0.0160128181342761,0.0206361757063202,,False,False,True,False,False,36.43000030517578,-0.1224265977068256,2.0,ARCHIVE,"[""purchase value >= $100k ($100,079)"", ""current price within 15% of insider VWAP (2.1%)""]","[""market cap unavailable""]"
2026-04-29 20:50:07,0001213900-26-049361,2124744,CXIIU,False,2114227,Churchill Capital Corp XII,CXIIU,Class A Ordinary Shares,2026-04-29,P,A,350000.0,10.0,3500000.0,"[{""cik"": ""0001327392"", ""name"": ""Klein Michael Stuart"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": ""See Remarks""}, {""cik"": ""0001751504"", ""name"": ""M. Klein Associates, Inc."", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": ""See Remarks""}, {""cik"": ""0002124744"", ""name"": ""CHURCHILL SPONSOR XII LLC"", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}]",True,52b611abb7933a6fa8385680299aaf2ca69f376743d60e9cb5058011c2ca62d2,2026-04-29 20:50:07,"CHURCHILL SPONSOR XII LLC; Klein Michael Stuart; M. Klein Associates, Inc.",Churchill Capital Corp XII,10.100000381469728,42956335.42893028,,0.081478086178711,0.0100000381469727,,True,True,True,True,True,10.100000381469728,0.0,7.0,ALERT,"[""purchase value >= $2m ($3,500,000)"", ""purchase value / ADV60 >= 5% (8.1%)"", ""current price within 15% of insider VWAP (1.0%)""]","[""market cap unavailable""]"
2026-04-29 23:21:02,0001104659-26-051889,1953926,ZBIO,False,1953926,"Zenas BioPharma, Inc.",ZBIO,Common Stock,2026-04-29,P,A,35000.0,17.62,616700.0,"[{""cik"": ""0001228865"", ""name"": ""MOULDER LEON O JR"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""Chief Executive Officer""}]",True,fe5355e05184389c86ccff54d5c34a0f55a2fee2210b92faea76bf931b2d10d7,2026-04-29 23:21:02,MOULDER LEON O JR,"Zenas BioPharma, Inc.",17.549999237060547,17088040.99003951,,0.0360895669877822,-0.0039728015289134,,True,False,True,True,False,43.16999816894531,-0.5934676863228296,6.0,WATCH,"[""purchase value >= $100k ($616,700)"", ""purchase value / ADV60 >= 2% (3.6%)"", ""current price below insider VWAP (-0.4%)"", ""stock down at least 30% from 52w high (-59.3%)""]","[""market cap unavailable""]"
2026-04-29 23:21:02,0001104659-26-051889,1953926,ZBIO,False,1953926,"Zenas BioPharma, Inc.",ZBIO,Common Stock,2026-04-28,P,A,25000.0,18.02,450500.0,"[{""cik"": ""0001228865"", ""name"": ""MOULDER LEON O JR"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""Chief Executive Officer""}]",True,09ea77f72a8d8a9c886034156691623d8d1c871ade243eb4d59ed796cda0ee5d,2026-04-29 23:21:02,MOULDER LEON O JR,"Zenas BioPharma, Inc.",17.549999237060547,17088040.99003951,,0.0263634667228732,-0.0260821733040761,,True,False,True,True,False,43.16999816894531,-0.5934676863228296,6.0,WATCH,"[""purchase value >= $100k ($450,500)"", ""purchase value / ADV60 >= 2% (2.6%)"", ""current price below insider VWAP (-2.6%)"", ""stock down at least 30% from 52w high (-59.3%)""]","[""market cap unavailable""]"
